Time,Rank,Score
2018-7-24T13:16,1409,195841
2018-7-24T13:20,1403,196546
2018-7-24T13:24,1396,197251
2018-7-24T13:28,1386,197956
2018-7-24T13:32,1377,198616
2018-7-24T13:36,1371,199366
2018-7-24T13:39,1365,200071
2018-7-24T13:43,1356,200776
2018-7-24T13:48,1349,201481
2018-7-24T13:52,1343,202186
2018-7-24T14:14,1342,202981
2018-7-24T14:22,1337,203596
2018-7-24T14:30,1328,204301
2018-7-24T14:46,1323,205006
2018-7-24T15:04,1313,205711
2018-7-24T15:07,1307,206416
2018-7-24T15:34,1302,207121
2018-7-24T15:38,1295,207826
2018-7-24T16:12,1296,208531
2018-7-25T00:00,1388,208531
